Name,RuntimeInMinutes,BudgetInMillions,BoxOfficeRevenueInMillions,AcademyAwardNominations,AcademyAwardWins,RottenTomatoesScore
The Fellowship of the Ring,178,93,871.5,13,4,91.0
The Two Towers,179,94,926.0,6,2,96.0
The Return of the King,201,94,1120,11,11,95.0
